City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Umea,SE,2022-02-12 16:52:27,63.8284,20.2597,28.33,69,0,8.05
213,Port Augusta,AU,2022-02-12 16:56:36,-32.5,137.7667,69.71,26,48,4.41
214,Colac,AU,2022-02-12 16:56:36,-38.3333,143.5833,63.63,84,21,6.29
215,Naze,JP,2022-02-12 16:56:36,28.3667,129.4833,62.4,92,100,15.14
216,Saint Anthony,US,2022-02-12 16:56:37,45.0205,-93.218,1.81,67,75,4.61
217,Camopi,GF,2022-02-12 16:56:37,3.1655,-52.3158,78.62,92,85,4.43
218,Mugan,CN,2022-02-12 16:56:37,35.9404,101.3842,18.66,38,21,5.61
219,Vilyuysk,RU,2022-02-12 16:56:37,63.7553,121.6247,-20.15,100,100,2.95
220,Muravlenko,RU,2022-02-12 16:56:38,63.7898,74.523,-7.64,96,11,13.91
221,Atherton,GB,2022-02-12 16:53:28,53.5237,-2.4935,46.89,85,100,5.99
222,Ribas Do Rio Pardo,BR,2022-02-12 16:56:38,-20.4431,-53.7592,89.2,46,8,8.39
223,Funtua,NG,2022-02-12 16:56:38,11.5233,7.3081,82.96,9,27,10.38
224,Grindavik,IS,2022-02-12 16:56:38,63.8424,-22.4338,26.55,74,0,10.36
225,San Juan,AR,2022-02-12 16:56:39,-31.5375,-68.5364,69.8,27,85,7.07
226,Bukama,CD,2022-02-12 16:56:39,-9.2,25.85,72.9,91,94,3.51
227,Belaya Gora,RU,2022-02-12 16:57:39,68.5333,146.4167,-23.1,91,100,6.24
228,Ancud,CL,2022-02-12 16:57:39,-41.8697,-73.8203,77.23,62,72,6.24
229,Airai,TL,2022-02-12 16:57:40,-8.9266,125.4092,59.31,93,86,2.19
230,Klaksvik,FO,2022-02-12 16:57:40,62.2266,-6.589,40.12,87,100,11.01
231,Hukuntsi,BW,2022-02-12 16:57:40,-24.0,21.75,84.69,22,1,8.34
232,Akyab,MM,2022-02-12 16:57:41,20.15,92.9,66.69,52,80,16.22
233,Panguipulli,CL,2022-02-12 16:57:41,-39.6333,-72.3333,67.71,14,63,2.53
234,Tilichiki,RU,2022-02-12 16:57:41,60.4667,166.1,-21.44,92,10,8.97
235,Nioro,GM,2022-02-12 16:57:41,13.35,-15.75,94.42,6,28,13.11
236,Hualmay,PE,2022-02-12 16:57:42,-11.0964,-77.6139,75.79,69,73,10.36
237,Umm Kaddadah,SD,2022-02-12 16:57:42,13.6017,26.6876,69.15,12,8,12.97
238,Pochutla,MX,2022-02-12 16:57:42,15.7432,-96.4661,88.27,40,33,5.48
239,Jemnice,CZ,2022-02-12 16:57:42,49.019,15.5699,36.84,73,7,11.05
240,Port Shepstone,ZA,2022-02-12 16:57:42,-30.7414,30.455,77.76,85,1,18.41
241,Hinton,CA,2022-02-12 16:57:43,53.4001,-117.5857,26.64,70,91,8.08
242,Nakamura,JP,2022-02-12 16:57:43,32.9833,132.9333,48.27,76,92,4.5
243,Esperance,AU,2022-02-12 16:57:43,-33.8667,121.9,64.24,68,99,13.62
244,Rocha,UY,2022-02-12 16:57:43,-34.4833,-54.3333,67.6,95,100,11.36
245,Clyde River,CA,2022-02-12 16:57:44,70.4692,-68.5914,-16.37,69,100,26.46
246,Chokurdakh,RU,2022-02-12 16:57:44,70.6333,147.9167,-1.98,95,100,13.78
247,North Battleford,CA,2022-02-12 16:54:48,52.7834,-108.2847,3.29,78,0,11.5
248,Kavieng,PG,2022-02-12 16:57:44,-2.5744,150.7967,80.83,77,100,3.06
249,Olafsvik,IS,2022-02-12 16:57:44,64.8945,-23.7142,28.18,69,51,25.41
250,Port Lincoln,AU,2022-02-12 16:57:45,-34.7333,135.8667,68.4,68,96,10.38
251,Comodoro Rivadavia,AR,2022-02-12 16:57:45,-45.8667,-67.5,84.06,24,0,10.36
252,Gamba,GA,2022-02-12 16:54:17,-2.65,10.0,80.38,80,60,9.69
253,Alice Springs,AU,2022-02-12 16:57:45,-23.7,133.8833,62.15,67,0,0.0
254,Pottsville,US,2022-02-12 16:52:48,40.6857,-76.1955,52.23,61,100,10.0
255,Guanica,PR,2022-02-12 16:57:46,17.9716,-66.908,86.14,66,16,14.0
256,East London,ZA,2022-02-12 16:57:01,-33.0153,27.9116,81.54,78,0,12.66
257,Menongue,AO,2022-02-12 16:57:46,-14.6585,17.691,66.02,88,98,3.56
258,Cherskiy,RU,2022-02-12 16:57:46,68.75,161.3,-23.37,98,100,9.31
259,Concepcion Del Uruguay,AR,2022-02-12 16:57:46,-32.4825,-58.2372,68.99,78,100,5.01
260,Chihuahua,MX,2022-02-12 16:57:47,28.5,-106.0,50.94,31,0,9.8
261,Paez,CO,2022-02-12 16:57:47,5.1011,-73.0512,74.28,58,100,2.08
262,Kidal,ML,2022-02-12 16:57:47,18.4411,1.4078,84.15,7,0,10.38
263,Anchorage,US,2022-02-12 16:56:45,61.2181,-149.9003,26.69,92,100,4.61
264,Mantua,IT,2022-02-12 16:57:47,45.1667,10.7833,51.04,49,0,1.01
265,Isangel,VU,2022-02-12 16:57:48,-19.55,169.2667,79.21,89,86,4.12
266,Rabo De Peixe,PT,2022-02-12 16:57:48,37.8,-25.5833,60.31,67,75,16.11
267,Panguna,PG,2022-02-12 16:57:48,-6.3164,155.4848,67.14,88,94,1.21
268,La Libertad,EC,2022-02-12 16:57:48,-2.2333,-80.9,76.66,78,0,8.05
269,Necochea,AR,2022-02-12 16:57:49,-38.5473,-58.7368,68.04,45,1,11.56
270,Puerto Santander,CO,2022-02-12 16:57:49,8.3636,-72.4063,85.41,48,72,3.96
271,Sabha,LY,2022-02-12 16:57:49,27.0377,14.4283,58.51,24,0,7.47
272,Ilebo,CD,2022-02-12 16:57:49,-4.3167,20.5833,80.4,67,82,2.59
273,Jumla,NP,2022-02-12 16:57:50,29.2747,82.1838,28.78,80,4,6.62
274,Doka,SD,2022-02-12 16:57:50,13.5167,35.7667,86.16,28,2,13.98
275,Goderich,CA,2022-02-12 16:58:50,43.7501,-81.7165,18.91,79,100,18.41
276,Medicine Hat,CA,2022-02-12 16:58:08,50.0501,-110.6683,33.73,46,75,10.36
277,Porto Santo,PT,2022-02-12 16:58:50,33.072,-16.3415,64.78,72,40,17.27
278,Seabra,BR,2022-02-12 16:58:51,-12.4186,-41.7703,81.73,55,73,4.25
