City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Lebu,CL,-37.6167,-73.65,58.23,91,96,5.5,overcast clouds
106,Stornoway,GB,58.2093,-6.3865,42.76,90,75,19.57,broken clouds
107,Dingle,PH,10.9995,122.6711,81.41,75,100,9.17,overcast clouds
108,Thinadhoo,MV,0.5333,72.9333,81.61,73,97,9.26,overcast clouds
109,Chicama,PE,-7.8447,-79.1469,68.54,69,58,5.39,broken clouds
110,Matara,LK,5.9485,80.5353,72.25,89,54,6.2,broken clouds
111,Port Hardy,CA,50.6996,-127.4199,49.75,74,100,7.11,overcast clouds
112,Bluff,NZ,-46.6,168.3333,57.88,64,100,3.74,overcast clouds
113,Deputatskiy,RU,69.3,139.9,-11.25,94,100,4.85,overcast clouds
114,Fortuna,US,40.5982,-124.1573,65.48,94,100,5.75,overcast clouds
115,Richards Bay,ZA,-28.783,32.0377,77.07,88,100,9.06,light rain
116,Faanui,PF,-16.4833,-151.75,80.49,75,100,14.18,moderate rain
117,Hilo,US,19.7297,-155.09,78.53,68,20,8.05,few clouds
118,Mandalgarh,IN,25.2,75.1,55.36,37,0,3.09,clear sky
119,Chuy,UY,-33.6971,-53.4616,58.86,65,0,6.22,clear sky
120,Norman Wells,CA,65.282,-126.8329,-3.68,96,100,3.71,overcast clouds
121,Ponta Do Sol,PT,32.6667,-17.1,62.71,72,77,0.47,broken clouds
122,Cape Town,ZA,-33.9258,18.4232,71.11,80,0,5.99,clear sky
123,Changping,CN,40.2186,116.2197,19.04,57,0,8.5,clear sky
124,Ewo,CG,-0.8725,14.8206,73.4,86,100,2.3,overcast clouds
125,Nara,JP,34.6851,135.8049,45.91,47,100,3.06,overcast clouds
126,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,20,4.61,few clouds
127,Hobyo,SO,5.3505,48.5268,76.87,73,77,17.0,broken clouds
128,Cabedelo,BR,-6.9811,-34.8339,81.27,76,1,11.07,clear sky
129,Leningradskiy,RU,69.3833,178.4167,-15.61,90,81,5.41,broken clouds
130,Bubaque,GW,11.2833,-15.8333,77.94,64,0,6.64,clear sky
131,San Ignacio,BZ,17.1561,-89.0714,73.54,88,75,9.22,broken clouds
132,Arlit,NE,18.7369,7.3853,65.59,13,0,4.14,clear sky
133,Talnakh,RU,69.4865,88.3972,-7.89,70,7,8.68,clear sky
134,Karratha,AU,-20.7377,116.8463,92.62,43,51,7.63,broken clouds
135,Butaritari,KI,3.0707,172.7902,81.19,77,20,13.0,light rain
136,Mahibadhoo,MV,3.7833,72.9667,81.16,76,76,9.44,broken clouds
137,Romny,UA,50.751,33.4747,21.97,87,22,7.58,few clouds
138,Muros,ES,42.7762,-9.0603,53.24,93,8,18.07,clear sky
139,Provideniya,RU,64.3833,-173.3,-3.64,71,0,8.99,clear sky
140,Port Elizabeth,ZA,-33.918,25.5701,68.63,87,87,12.08,light rain
141,Egvekinot,RU,66.3167,-179.1667,-15.84,90,17,5.84,few clouds
142,Port Alfred,ZA,-33.5906,26.891,68.95,88,31,8.55,light rain
143,Misratah,LY,32.3754,15.0925,56.93,69,98,8.3,overcast clouds
144,Uchaly,RU,54.2996,59.4521,5.45,93,100,5.59,overcast clouds
145,Simao,CN,22.7886,100.9748,52.2,47,0,0.81,clear sky
146,La Union,PE,-5.4,-80.75,76.98,64,100,11.81,overcast clouds
147,Boa Vista,BR,2.8197,-60.6733,84.18,58,0,13.8,clear sky
