City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
212,Kencong,ID,79.25,moderate rain,-8.2833,113.3667,GUBUK SUGIANTO
216,La Libertad,EC,78.46,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
219,Pangkalanbuun,ID,80.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
221,Soyo,AO,78.42,overcast clouds,-6.1349,12.3689,Hotel Mpampa
226,Hambantota,LK,75.24,scattered clouds,6.1241,81.1185,Bungalow 63
230,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
236,Flinders,AU,84.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
237,Burnie,AU,78.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
238,Takoradi,GH,78.58,overcast clouds,4.8845,-1.7554,Raybow International Hotel
241,Sola,VU,82.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
242,Lorengau,PG,84.02,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
243,Saint-Pierre,RE,78.48,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
247,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
250,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
255,Namatanai,PG,85.57,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
258,Luganville,VU,84.42,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
262,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
267,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
273,Pilar,BR,76.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
274,Daru,PG,85.53,broken clouds,-9.0763,143.2092,Daru Lodge
275,Kalmunai,LK,76.73,overcast clouds,7.4167,81.8167,VS Villa
278,Banes,CU,79.41,clear sky,20.9625,-75.7186,Hostal Iván y yailet
287,Pacifica,US,76.33,broken clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
289,Salinopolis,BR,77.67,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
290,San Policarpo,PH,80.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
293,Kailua,US,80.58,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
294,Lompoc,US,79.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
296,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
304,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
313,Manzanillo,CU,75.38,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
322,Cabo San Lucas,MX,76.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
327,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
329,San Jose,US,77.68,broken clouds,37.3394,-121.895,The Westin San Jose
335,Kroya,ID,85.19,broken clouds,-7.6331,109.2461,RUSTANTO Fam
336,Madang,PG,83.41,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
343,San Francisco,US,76.59,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
350,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
353,Batemans Bay,AU,89.2,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
355,Ribas Do Rio Pardo,BR,79.18,broken clouds,-20.4431,-53.7592,Pousada Avenida
357,Mayumba,GA,77.58,overcast clouds,-3.432,10.6554,LIKWALE LODGE
360,Acajutla,SV,83.8,clear sky,13.5928,-89.8275,Laureles
366,Lufilufi,WS,87.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
367,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
372,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
373,Juruti,BR,77.65,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
383,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
388,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
394,Ipixuna,BR,75.15,heavy intensity rain,-1.7625,-48.8043,Casa da Oscarina
396,Sabang,ID,82.0,few clouds,5.8933,95.3214,Hotel Citra
398,Vaitape,PF,80.53,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
402,Ahuimanu,US,80.31,clear sky,21.4447,-157.8378,Paradise Bay Resort
409,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
410,Samarinda,ID,76.98,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
420,Kulhudhuffushi,MV,80.51,overcast clouds,6.6221,73.07,Haajy Guest House 1
423,Pedasi,PA,76.06,clear sky,7.5333,-80.0333,Selina Pedasi
424,Manavalakurichi,IN,77.09,few clouds,8.1333,77.3,Jebinrio home
425,Labuhan,ID,77.18,overcast clouds,-6.8844,112.2051,DoubleFAG
426,Puerto Baquerizo Moreno,EC,75.67,broken clouds,-0.9,-89.6,Hotel los Algarrobos
438,Eravur,LK,76.77,broken clouds,7.7733,81.6095,Farhan KING House
442,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
445,Gizo,SB,84.42,overcast clouds,-8.103,156.8419,Imagination Island
448,Gigmoto,PH,80.47,broken clouds,13.7796,124.39,Cj's Travellers Inn
450,La Primavera,CO,81.5,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
452,Bourail,NC,87.24,overcast clouds,-21.5667,165.4833,Motel Allamanda
456,Kavaratti,IN,80.46,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
458,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
463,Oriximina,BR,77.05,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
466,Fenoarivo Atsinanana,MG,76.05,broken clouds,-17.3667,49.4167,L'Oasis Lodge
469,Rawson,AR,76.19,clear sky,-43.3002,-65.1023,Hosteria Sampedro
471,Meulaboh,ID,77.23,overcast clouds,4.1363,96.1285,Kost Pria
473,Garissa,KE,75.87,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
474,Madera,US,76.8,clear sky,37.1666,-119.8343,
475,Mudgee,AU,77.05,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
476,Banda Aceh,ID,78.82,scattered clouds,5.5577,95.3222,Sulthan Hotel International
488,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
492,Kirakira,SB,79.59,light rain,-10.4544,161.9205,SanBiz Lodge
496,Guantanamo,CU,80.17,clear sky,20.1444,-75.2092,Hotel Guantánamo
506,Male,MV,81.97,broken clouds,4.1748,73.5089,Hotel Octave Maldives
507,Kawalu,ID,77.32,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
524,Itarema,BR,79.61,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
528,Trincomalee,LK,79.34,broken clouds,8.5711,81.2335,Welcombe Hotel
531,Cartagena,CO,80.22,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
532,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
